genres,game_title,url,release_date,price,id,developer
['Strategy'],Vegas: Make It Big™,http://store.steampowered.com/app/6210/Vegas_Make_It_Big/,2006-12-21,4.99,6210,Deepred
"['Adventure', 'RPG']",Dreamfall: The Longest Journey,http://store.steampowered.com/app/6300/Dreamfall_The_Longest_Journey/,2006-04-17,19.99,6300,Funcom
['Racing'],FlatOut 2™,http://store.steampowered.com/app/2990/FlatOut_2/,2006-08-01,9.99,2990,Bugbear Entertainment
['Racing'],FlatOut,http://store.steampowered.com/app/6220/FlatOut/,2005-07-12,7.49,6220,Bugbear Entertainment
"['Action', 'Adventure']",Lost Planet™: Extreme Condition,http://store.steampowered.com/app/6510/Lost_Planet_Extreme_Condition/,2007-06-26,14.99,6510,"CAPCOM Co., Ltd."
['Strategy'],CivCity: Rome,http://store.steampowered.com/app/3980/CivCity_Rome/,2006-07-24,9.99,3980,"FireFly Studios,Firaxis Games"
['RPG'],Arx Fatalis,http://store.steampowered.com/app/1700/Arx_Fatalis/,2002-11-12,4.99,1700,Arkane Studios
"['Action', 'Adventure', 'RPG']",The Longest Journey,http://store.steampowered.com/app/6310/The_Longest_Journey/,2000-11-17,9.99,6310,Funcom
['Strategy'],Civilization IV®: Warlords,http://store.steampowered.com/app/3990/Civilization_IV_Warlords/,2006-07-24,4.99,3990,Firaxis Games
['Strategy'],Railroad Tycoon 3,http://store.steampowered.com/app/7610/Railroad_Tycoon_3/,2003-10-23,9.99,7610,PopTop
['Strategy'],Sid Meier's Railroads!,http://store.steampowered.com/app/7600/Sid_Meiers_Railroads/,2006-10-16,9.99,7600,"Firaxis Games,Feral Interactive (Mac)"
['Strategy'],Railroad Tycoon II Platinum,http://store.steampowered.com/app/7620/Railroad_Tycoon_II_Platinum/,1998-10-31,4.99,7620,PopTop
['Strategy'],X-COM: Terror From the Deep,http://store.steampowered.com/app/7650/XCOM_Terror_From_the_Deep/,1995-04-01,4.99,7650,"MicroProse Software, Inc"
"['Action', 'Adventure']",Tomb Raider: Anniversary,http://store.steampowered.com/app/8000/Tomb_Raider_Anniversary/,2007-06-05,8.99,8000,"Crystal Dynamics,Feral Interactive (Mac)"
['Action'],Devil May Cry® 3 Special Edition,http://store.steampowered.com/app/6550/Devil_May_Cry_3_Special_Edition/,2006-05-23,19.99,6550,"CAPCOM Co., Ltd."
"['Action', 'Adventure']",Sam &amp; Max 101: Culture Shock,http://store.steampowered.com/app/8200/Sam__Max_101_Culture_Shock/,2006-10-17,19.99,8200,Telltale Games
['Action'],Final DOOM,http://store.steampowered.com/app/2290/Final_DOOM/,1996-06-17,4.99,2290,id Software
"['Action', 'Adventure']",Sam &amp; Max 102: Situation: Comedy,http://store.steampowered.com/app/8210/Sam__Max_102_Situation_Comedy/,2006-12-20,19.99,8210,Telltale Games
['Action'],Ultimate Doom,http://store.steampowered.com/app/2280/Ultimate_Doom/,1995-04-30,4.99,2280,id Software
['Action'],Master Levels for Doom II,http://store.steampowered.com/app/9160/Master_Levels_for_Doom_II/,1995-06-01,14.99,9160,id Software
['Action'],DOOM II,http://store.steampowered.com/app/2300/DOOM_II/,1994-05-05,4.99,2300,id Software
['Action'],Wolfenstein 3D,http://store.steampowered.com/app/2270/Wolfenstein_3D/,1994-08-03,4.99,2270,id Software
['Action'],Return to Castle Wolfenstein,http://store.steampowered.com/app/9010/Return_to_Castle_Wolfenstein/,2001-11-20,4.99,9010,Gray Matter Studios
['Action'],QUAKE Mission Pack 1: Scourge of Armagon,http://store.steampowered.com/app/9040/QUAKE_Mission_Pack_1_Scourge_of_Armagon/,1997-02-28,2.99,9040,Ritual Entertainment
['Action'],Spear of Destiny,http://store.steampowered.com/app/9000/Spear_of_Destiny/,1993-10-10,2.99,9000,id Software
['Action'],BloodRayne,http://store.steampowered.com/app/3810/,2003-09-09,9.99,3810,Terminal Reality
['Action'],QUAKE Mission Pack 2: Dissolution of Eternity,http://store.steampowered.com/app/9030/QUAKE_Mission_Pack_2_Dissolution_of_Eternity/,2007-08-03,2.99,9030,Rogue Entertainment
['Action'],QUAKE,http://store.steampowered.com/app/2310/QUAKE/,2007-05-31,4.99,2310,id Software
['Strategy'],Genesis Rising,http://store.steampowered.com/app/3230/Genesis_Rising/,2007-03-20,4.99,3230,Metamorf
['Strategy'],"Warhammer® 40,000: Dawn of War® – Winter Assault",http://store.steampowered.com/app/9310/Warhammer_40000_Dawn_of_War__Winter_Assault/,2006-01-01,12.99,9310,Relic Entertainment
"['Action', 'RPG']",BioShock™,http://store.steampowered.com/app/7670/BioShock/,2007-08-21,19.99,7670,"2K Boston,2K Australia"
['Strategy'],"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",http://store.steampowered.com/app/4570/Warhammer_40000_Dawn_of_War__Game_of_the_Year_Edition/,2006-01-01,12.99,4570,Relic Entertainment
['Strategy'],"Warhammer® 40,000: Dawn of War® - Dark Crusade",http://store.steampowered.com/app/4580/Warhammer_40000_Dawn_of_War__Dark_Crusade/,2006-10-09,12.99,4580,Relic Entertainment
['Strategy'],Rome: Total War™ - Collection,http://store.steampowered.com/app/4760/Rome_Total_War__Collection/,2004-09-22,9.99,4760,The Creative Assembly
['Strategy'],Rome: Total War™ - Alexander,http://store.steampowered.com/app/4770/Rome_Total_War__Alexander/,2006-06-26,4.99,4770,The Creative Assembly
['Casual'],Mystery Case Files: Madame Fate®,http://store.steampowered.com/app/50970/Mystery_Case_Files_Madame_Fate/,2007-12-14,6.99,50970,Big Fish Games
['Action'],Manhunt,http://store.steampowered.com/app/12130/Manhunt/,2004-04-20,9.99,12130,Rockstar North
['Racing'],Midnight Club 2,http://store.steampowered.com/app/12160/Midnight_Club_2/,2003-07-01,9.99,12160,Rockstar San Diego
['Action'],Max Payne 2: The Fall of Max Payne,http://store.steampowered.com/app/12150/Max_Payne_2_The_Fall_of_Max_Payne/,2003-10-14,9.99,12150,Remedy Entertainment
"['Action', 'Adventure']",Tomb Raider: Legend,http://store.steampowered.com/app/7000/,2006-04-07,6.99,7000,Crystal Dynamics
['Action'],Max Payne,http://store.steampowered.com/app/12140/Max_Payne/,2001-07-25,9.99,12140,Remedy Entertainment
['Strategy'],Command &amp; Conquer: Red Alert 3,http://store.steampowered.com/app/17480/Command__Conquer_Red_Alert_3/,2008-10-28,19.99,17480,EA Los Angeles
['Casual'],PuzzleQuest: Challenge of the Warlords,http://store.steampowered.com/app/12500/PuzzleQuest_Challenge_of_the_Warlords/,2007-10-10,9.99,12500,Infinite Interactive
"['RPG', 'Casual', 'Adventure']",Culpa Innata,http://store.steampowered.com/app/12310/Culpa_Innata/,2007-10-23,9.99,12310,Momentum Digital Media Technologies
['Strategy'],Prison Tycoon 3™: Lockdown,http://store.steampowered.com/app/12510/Prison_Tycoon_3_Lockdown/,2007-08-01,9.99,12510,"Gamebryo,Virtual Playground"
"['Action', 'Adventure', 'Strategy']",Hunting Unlimited™ 2008,http://store.steampowered.com/app/12530/Hunting_Unlimited_2008/,2007-09-01,9.99,12530,SCS Software
['Racing'],18 Wheels of Steel: American Long Haul,http://store.steampowered.com/app/12520/18_Wheels_of_Steel_American_Long_Haul/,2007-12-03,9.99,12520,SCS Software
['Action'],Conflict: Denied Ops,http://store.steampowered.com/app/8100/Conflict_Denied_Ops/,2008-02-08,5.99,8100,Pivotal Games
['Action'],ARMA: Combat Operations,http://store.steampowered.com/app/2780/ARMA_Combat_Operations/,2007-05-08,7.99,2780,Bohemia Interactive
['Action'],Desperados 2: Cooper's Revenge,http://store.steampowered.com/app/9710/Desperados_2_Coopers_Revenge/,2006-05-02,9.99,9710,Spellbound
"['Action', 'Adventure']",Death to Spies,http://store.steampowered.com/app/9800/Death_to_Spies/,2007-10-16,4.99,9800,Haggard Games
['Action'],Act of War: High Treason,http://store.steampowered.com/app/9760/Act_of_War_High_Treason/,2006-05-30,2.99,9760,Eugen Systems
"['Simulation', 'Strategy']",RollerCoaster Tycoon® 3: Platinum,http://store.steampowered.com/app/2700/RollerCoaster_Tycoon_3_Platinum/,2006-10-26,19.99,2700,"Frontier,Aspyr (Mac)"
['Action'],Act of War: Direct Action,http://store.steampowered.com/app/2710/Act_of_War_Direct_Action/,2005-03-14,2.99,2710,Eugen Systems
['Action'],Unreal 2: The Awakening,http://store.steampowered.com/app/13200/Unreal_2_The_Awakening/,2003-02-03,14.99,13200,"Epic Games, Inc."
['Action'],Unreal Gold,http://store.steampowered.com/app/13250/Unreal_Gold/,1998-04-30,9.99,13250,"Epic Games, Inc."
"['Casual', 'Indie']",Ninja Reflex: Steamworks Edition,http://store.steampowered.com/app/13000/Ninja_Reflex_Steamworks_Edition/,2008-03-21,4.99,13000,Sanzaru Games
['Action'],Tom Clancy's Splinter Cell®,http://store.steampowered.com/app/13560/Tom_Clancys_Splinter_Cell/,2003-02-18,9.99,13560,Ubisoft
['Action'],Far Cry®,http://store.steampowered.com/app/13520/Far_Cry/,2004-03-23,9.99,13520,Crytek Studios
['Action'],Unreal Tournament: Game of the Year Edition,http://store.steampowered.com/app/13240/Unreal_Tournament_Game_of_the_Year_Edition/,2000-10-25,9.99,13240,"Epic Games, Inc."
['Action'],Tom Clancy's Rainbow Six® Vegas,http://store.steampowered.com/app/13540/Tom_Clancys_Rainbow_Six_Vegas/,2006-12-12,9.99,13540,Ubisoft Montreal
['Simulation'],Silent Hunter® III,http://store.steampowered.com/app/15210/Silent_Hunter_III/,2005-03-15,9.99,15210,Ubisoft
"['Casual', 'Simulation']",Virtual Villagers - The Secret City,http://store.steampowered.com/app/16180/Virtual_Villagers__The_Secret_City/,2008-05-28,9.99,16180,Last Day of Work
['Casual'],Mystery P.I.™ - The Vegas Heist,http://store.steampowered.com/app/3520/Mystery_PI__The_Vegas_Heist/,2008-06-04,4.99,3520,SpinTop Games
['Casual'],Luxor,http://store.steampowered.com/app/15970/Luxor/,2008-06-10,9.99,15970,MumboJumbo
['Casual'],Reaxxion,http://store.steampowered.com/app/15950/Reaxxion/,2008-06-10,9.99,15950,MumboJumbo
['Casual'],Little Farm,http://store.steampowered.com/app/15960/Little_Farm/,2008-06-10,9.99,15960,MumboJumbo
['Casual'],7 Wonders II,http://store.steampowered.com/app/15900/7_Wonders_II/,2008-06-10,9.99,15900,MumboJumbo
['Casual'],Luxor Amun Rising,http://store.steampowered.com/app/15910/Luxor_Amun_Rising/,2005-12-08,9.99,15910,MumboJumbo
['Casual'],Luxor 3,http://store.steampowered.com/app/15930/Luxor_3/,2007-11-13,9.99,15930,MumboJumbo
['Simulation'],Petz® Horsez® 2,http://store.steampowered.com/app/15160/Petz_Horsez_2/,2007-11-13,9.99,15160,Ubisoft
['Casual'],Luxor 2,http://store.steampowered.com/app/15920/Luxor_2/,2005-12-08,9.99,15920,MumboJumbo
"['Action', 'Adventure']",Rayman Raving Rabbids™,http://store.steampowered.com/app/15080/Rayman_Raving_Rabbids/,2007-03-27,9.99,15080,"Ubisoft Bulgaria,Ubisoft Montpellier"
['Simulation'],Silent Hunter®: Wolves of the Pacific,http://store.steampowered.com/app/15200/Silent_Hunter_Wolves_of_the_Pacific/,2007-03-20,9.99,15200,Ubisoft Romania
['Simulation'],IL-2 Sturmovik: 1946,http://store.steampowered.com/app/15320/IL2_Sturmovik_1946/,2006-12-15,9.99,15320,1C: Maddox Games
['Simulation'],Silent Hunter®: Wolves of the Pacific U-Boat Missions,http://store.steampowered.com/app/15240/Silent_Hunter_Wolves_of_the_Pacific_UBoat_Missions/,2008-03-24,9.99,15240,Ubisoft Romania
['Adventure'],Bone: Out From Boneville,http://store.steampowered.com/app/8310/Bone_Out_From_Boneville/,2005-09-15,9.99,8310,Telltale Games
['Racing'],Midnight Outlaw: 6 Hours to SunUp,http://store.steampowered.com/app/12600/Midnight_Outlaw_6_Hours_to_SunUp/,2005-07-02,9.99,12600,"Merscom,Babylon"
['Adventure'],Bone: The Great Cow Race,http://store.steampowered.com/app/8320/Bone_The_Great_Cow_Race/,2006-04-12,9.99,8320,Telltale Games
['Racing'],Sprint Cars Road to Knoxville,http://store.steampowered.com/app/12590/Sprint_Cars_Road_to_Knoxville/,2008-07-29,9.99,12590,BigAnt Studios
['Simulation'],Ride! Carnival Tycoon,http://store.steampowered.com/app/12560/Ride_Carnival_Tycoon/,2007-07-02,9.99,12560,Gabriel Entertainment
['Casual'],Mahjongg Investigations: Under Suspicion,http://store.steampowered.com/app/12540/Mahjongg_Investigations_Under_Suspicion/,2007-08-08,9.99,12540,Zemnott
['Adventure'],Dracula Origin,http://store.steampowered.com/app/11050/Dracula_Origin/,2008-05-20,9.99,11050,Frogwares
"['Adventure', 'RPG']",Sherlock Holmes - Nemesis,http://store.steampowered.com/app/11040/Sherlock_Holmes__Nemesis/,2008-04-14,9.99,11040,Frogwares
"['Adventure', 'Indie']",Eternity's Child,http://store.steampowered.com/app/19500/Eternitys_Child/,2008-07-31,4.99,19500,"Luc Bernard,SilverSphereStudios"
"['Simulation', 'Strategy']",Pacific Storm Allies,http://store.steampowered.com/app/11260/Pacific_Storm_Allies/,2007-05-25,7.99,11260,Lesta Studio
"['Action', 'Indie']",Tank Universal,http://store.steampowered.com/app/19200/Tank_Universal/,2008-08-21,4.99,19200,Dialogue Design
['Racing'],FlatOut: Ultimate Carnage,http://store.steampowered.com/app/12360/FlatOut_Ultimate_Carnage/,2008-08-19,19.99,12360,Bugbear Entertainment
['Adventure'],Oddworld: Abe's Exoddus®,http://store.steampowered.com/app/15710/Oddworld_Abes_Exoddus/,1998-11-17,2.99,15710,Oddworld Inhabitants
['Adventure'],Oddworld: Abe's Oddysee®,http://store.steampowered.com/app/15700/Oddworld_Abes_Oddysee/,1997-12-12,2.99,15700,Oddworld Inhabitants
['Racing'],GTR Evolution Expansion Pack for RACE 07,http://store.steampowered.com/app/8660/GTR_Evolution_Expansion_Pack_for_RACE_07/,2008-09-01,7.99,8660,SimBin
['Strategy'],X-COM: Enforcer,http://store.steampowered.com/app/7770/XCOM_Enforcer/,2001-04-19,4.99,7770,"MicroProse Software, Inc"
['Strategy'],X-COM: Apocalypse,http://store.steampowered.com/app/7660/XCOM_Apocalypse/,1997-07-15,4.99,7660,"MicroProse Software, Inc"
['Strategy'],X-COM: UFO Defense,http://store.steampowered.com/app/7760/XCOM_UFO_Defense/,1993-12-31,4.99,7760,"MicroProse Software, Inc"
"['Action', 'RPG']",S.T.A.L.K.E.R.: Clear Sky,http://store.steampowered.com/app/20510/STALKER_Clear_Sky/,2008-09-15,9.99,20510,GSC Game World
['Action'],Crysis Warhead®,http://store.steampowered.com/app/17330/Crysis_Warhead/,2008-09-17,19.99,17330,Crytek
['Action'],Crysis,http://store.steampowered.com/app/17300/Crysis/,2007-11-13,19.99,17300,Crytek
['Strategy'],X-COM: Interceptor,http://store.steampowered.com/app/7730/XCOM_Interceptor/,1998-06-15,4.99,7730,"MicroProse Software, Inc"
"['Action', 'RPG']",The Witcher: Enhanced Edition Director's Cut,http://store.steampowered.com/app/20900/The_Witcher_Enhanced_Edition_Directors_Cut/,2008-09-16,9.99,20900,CD PROJEKT RED
['Indie'],Multiwinia,http://store.steampowered.com/app/1530/Multiwinia/,2008-09-19,9.99,1530,Introversion Software
['Racing'],STCC - The Game 1 - Expansion Pack for RACE 07,http://store.steampowered.com/app/8690/STCC__The_Game_1__Expansion_Pack_for_RACE_07/,2008-10-22,2.99,8690,SimBin
"['Strategy', 'Simulation']",Children of the Nile: Alexandria,http://store.steampowered.com/app/17120/Children_of_the_Nile_Alexandria/,2008-08-28,2.49,17120,"Tilted Mill Entertainment, Inc."
['Strategy'],Sid Meier's Civilization IV: Colonization,http://store.steampowered.com/app/16810/Sid_Meiers_Civilization_IV_Colonization/,2008-09-23,19.99,16810,Firaxis Games
['Action'],Tom Clancy's Rainbow Six® 3 Gold,http://store.steampowered.com/app/19830/Tom_Clancys_Rainbow_Six_3_Gold/,2003-03-18,9.99,19830,"Red Storm Entertainment,Ubisoft Montreal"
"['Action', 'Adventure']",LEGO Batman,http://store.steampowered.com/app/21000/LEGO_Batman/,2008-09-29,19.99,21000,Traveller's Tales
"['Simulation', 'Strategy']",City Life 2008,http://store.steampowered.com/app/4460/City_Life_2008/,2008-07-18,9.99,4460,Monte Cristo
"['RPG', 'Strategy']",Hinterland,http://store.steampowered.com/app/17140/Hinterland/,2008-09-30,9.99,17140,"Tilted Mill Entertainment, Inc."
['Action'],Brothers in Arms: Hell's Highway™,http://store.steampowered.com/app/15390/Brothers_in_Arms_Hells_Highway/,2008-10-08,9.99,15390,Gearbox Software
"['Indie', 'Casual']",Gravitron 2,http://store.steampowered.com/app/21300/Gravitron_2/,2008-08-31,4.99,21300,Dark Castle Software
['Racing'],Xpand Rally Xtreme,http://store.steampowered.com/app/3050/Xpand_Rally_Xtreme/,2006-12-01,4.99,3050,Techland
['Strategy'],Heroes of Might &amp; Magic V: Hammers of Fate,http://store.steampowered.com/app/15380/Heroes_of_Might__Magic_V_Hammers_of_Fate/,2006-11-14,9.99,15380,Nival
['Action'],Brothers in Arms: Earned in Blood™,http://store.steampowered.com/app/19800/Brothers_in_Arms_Earned_in_Blood/,2005-10-04,9.99,19800,Gearbox Software
['Strategy'],Heroes of Might &amp; Magic V: Tribes of the East,http://store.steampowered.com/app/15370/Heroes_of_Might__Magic_V_Tribes_of_the_East/,2007-10-16,9.99,15370,Nival
['Strategy'],The Settlers®: Rise Of An Empire Gold Edition,http://store.steampowered.com/app/19930/The_Settlers_Rise_Of_An_Empire_Gold_Edition/,2008-04-18,19.99,19930,Blue Byte
['Casual'],Brain Spa,http://store.steampowered.com/app/15350/Brain_Spa/,2007-09-25,9.99,15350,Ubisoft
['Action'],The Sum of All Fears,http://store.steampowered.com/app/19810/The_Sum_of_All_Fears/,2002-05-31,9.99,19810,Red Storm Entertainment
['Casual'],Peggle™ Nights,http://store.steampowered.com/app/3540/Peggle_Nights/,2008-10-15,4.99,3540,"PopCap Games, Inc."
['Indie'],World of Goo,http://store.steampowered.com/app/22000/World_of_Goo/,2008-10-13,9.99,22000,2D BOY
"['Action', 'Simulation', 'Strategy']",X3: Terran Conflict,http://store.steampowered.com/app/2820/X3_Terran_Conflict/,2008-10-16,15.99,2820,Egosoft
['Action'],Mare Nostrum,http://store.steampowered.com/app/1230/Mare_Nostrum/,2008-10-17,0.0,1230,Sandstorm Productions
"['Casual', 'Indie']",Spectraball,http://store.steampowered.com/app/18300/Spectraball/,2008-10-20,4.99,18300,Shorebound Studios
"['Indie', 'Casual', 'Sports']",Galactic Bowling,http://store.steampowered.com/app/20200/Galactic_Bowling/,2008-10-21,19.99,20200,Perpetual FX Creative
"['Action', 'Adventure']",Bully: Scholarship Edition,http://store.steampowered.com/app/12200/Bully_Scholarship_Edition/,2008-10-21,14.99,12200,Rockstar New England
['Action'],Far Cry® 2: Fortune's Edition,http://store.steampowered.com/app/19900/Far_Cry_2_Fortunes_Edition/,2008-10-22,9.99,19900,Ubisoft Montreal
"['Action', 'Indie', 'Strategy']",Space Trader: Merchant Marine,http://store.steampowered.com/app/11240/Space_Trader_Merchant_Marine/,2008-10-23,4.99,11240,Meridian4
['Simulation'],PRR Wagon Pack 01,http://store.steampowered.com/app/256522/PRR_Wagon_Pack_01/,2009-01-01,4.99,256522,RailSimulator.com
['Simulation'],"Class 421 London South East ""Jaffa Cake""",http://store.steampowered.com/app/275144/Class_421_London_South_East_Jaffa_Cake/,2009-01-01,4.99,275144,RailSimulator.com
['Simulation'],ATSF Wagon Pack 01,http://store.steampowered.com/app/256521/ATSF_Wagon_Pack_01/,2009-01-01,4.99,256521,RailSimulator.com
['Simulation'],GP20 Union Pacific Add-on Livery,http://store.steampowered.com/app/222569/GP20_Union_Pacific_Addon_Livery/,2009-01-01,4.99,222569,Reppo
['Simulation'],UK Van Wagon Pack,http://store.steampowered.com/app/256535/UK_Van_Wagon_Pack/,2009-01-01,4.99,256535,RailSimulator.com
['Simulation'],CSX SD70MAC Add-on Livery,http://store.steampowered.com/app/256611/CSX_SD70MAC_Addon_Livery/,2009-01-01,4.99,256611,Dovetail Games
['Simulation'],CSX ES44AC Add-on Livery,http://store.steampowered.com/app/256576/CSX_ES44AC_Addon_Livery/,2009-01-01,4.99,256576,Dovetail Games
['Action'],Saints Row 2,http://store.steampowered.com/app/9480/Saints_Row_2/,2009-01-28,9.99,9480,Volition
['Action'],Dead Space,http://store.steampowered.com/app/17470/Dead_Space/,2008-10-20,19.99,17470,EA Redwood Shores
['RPG'],Rise of the Argonauts,http://store.steampowered.com/app/12770/Rise_of_the_Argonauts/,2008-12-16,9.99,12770,Liquid Entertainment
"['Action', 'Adventure']",Mirror's Edge™,http://store.steampowered.com/app/17410/Mirrors_Edge/,2009-01-13,19.99,17410,DICE
"['Indie', 'Strategy']",Defense Grid: The Awakening,http://store.steampowered.com/app/18500/Defense_Grid_The_Awakening/,2008-12-08,9.99,18500,Hidden Path Entertainment
['Action'],F.E.A.R. 2: Project Origin,http://store.steampowered.com/app/16450/FEAR_2_Project_Origin/,2009-02-12,14.99,16450,Monolith
"['Strategy', 'Indie']",Harvest: Massive Encounter,http://store.steampowered.com/app/15400/Harvest_Massive_Encounter/,2008-03-05,7.99,15400,Oxeye Game Studio
